text,sentiment
ഈ അനുഭവം എനിക്ക് സന്തോഷം നല്‍കി.,positive
നടി നയൻതാര പ്രധാനവേഷം അവതരിപ്പിക്കുന്നു.,neutral
പ്രധാന കഥാപാത്രം ഒരു പോലീസ് ഓഫീസറാണ്.,neutral
ഫിലിം ഷൂട്ടിംഗ് കേരളത്തിൽ നടന്നു.,neutral
ഫിലിം ഷൂട്ടിംഗ് കേരളത്തിൽ നടന്നു.,neutral
ഈ സിനിമ മനോഹരമായ അനുഭവം ആയിരുന്നു.,positive
കഥ വളരെ ആകർഷണീയമായിരുന്നു.,positive
ഈ സിനിമ മനോഹരമായ അനുഭവം ആയിരുന്നു.,positive
ഈ സിനിമ സമയം നഷ്‍ടമാക്കി.,negative
സിനിമ 2 മണിക്കൂർ നീളമുള്ളതാണ്.,neutral
നിർമ്മാണം ഉന്നത നിലവാരത്തിലായിരുന്നു.,positive
ഞാൻ ഈ സിനിമ മറ്റുള്ളവർക്ക് ശുപാർശ ചെയ്യും.,positive
ഞാൻ ഏറെ നിരാശനായി.,negative
ഫിലിം ഷൂട്ടിംഗ് കേരളത്തിൽ നടന്നു.,neutral
ദൃശ്യങ്ങൾ അനാവശ്യമായിരുന്നു.,negative
ഈ അനുഭവം എനിക്ക് സന്തോഷം നല്‍കി.,positive
സംവിധാനം തികച്ചും പിടിച്ചുപറിഞ്ഞതായിരുന്നു.,negative
അഭിനയം വളരെ മികച്ചതാണ്.,positive
സിനിമയുടെ ഭാഷ മലയാളമാണ്.,neutral
ഇത് 2022-ൽ പുറത്തിറങ്ങിയ സിനിമയാണ്.,neutral
പ്രധാന കഥാപാത്രം ഒരു പോലീസ് ഓഫീസറാണ്.,neutral
സംവിധാനം തികച്ചും പിടിച്ചുപറിഞ്ഞതായിരുന്നു.,negative
ദൃശ്യം വളരെ സുന്ദരമായിരുന്നു.,positive
ഫിലിം ഷൂട്ടിംഗ് കേരളത്തിൽ നടന്നു.,neutral
നടി നയൻതാര പ്രധാനവേഷം അവതരിപ്പിക്കുന്നു.,neutral
ഇത് ഒരു കുടുംബdrama ആണ്.,neutral
ഇത് ഒരു കുടുംബdrama ആണ്.,neutral
പ്രധാന കഥാപാത്രം ഒരു പോലീസ് ഓഫീസറാണ്.,neutral
ഞാൻ ഈ സിനിമ മറ്റുള്ളവർക്ക് ശുപാർശ ചെയ്യും.,positive
കഥ വളരെ ബോധമില്ലാത്തതായിരുന്നു.,negative
സിനിമ 2 മണിക്കൂർ നീളമുള്ളതാണ്.,neutral
ഇത് ഒരു കുടുംബdrama ആണ്.,neutral
ഞാൻ ഈ സിനിമ ആരെയും ശുപാർശ ചെയ്യില്ല.,negative
ഞാൻ ഏറെ നിരാശനായി.,negative
ഫിലിം ഷൂട്ടിംഗ് കേരളത്തിൽ നടന്നു.,neutral
ഇത് 2022-ൽ പുറത്തിറങ്ങിയ സിനിമയാണ്.,neutral
